Unnamed: 0,PassengerId,Survived,Sex,Age,Fare,Pclass_1,Pclass_2,Pclass_3,Family_size,Title_1,Title_2,Title_3,Title_4,Emb_1,Emb_2,Emb_3,Sex_Label,Age_Standard,Fare_MinMax,Fare_Robust,Fare_Log,AgeGroup
0,1,0,1,0.275,0.014151057562208,0,0,1,0.1,1,0,0,0,0,0,1,1,-0.5645684617513703,0.014151057562208,-0.31210927853810133,0.014051866028611897,Child
1,2,1,0,0.475,0.12808844391457677,1,0,0,0.1,1,0,0,0,1,0,0,0,0.6649923593650604,0.1391357353826406,2.4620206825143054,0.13026984802557667,Child
2,3,1,0,0.325,0.0154685698179998,0,0,1,0.0,0,0,0,1,0,0,1,0,-0.2571782564722626,0.0154685698179998,-0.28286609220051767,0.015350151109302445,Child
3,4,1,0,0.4375,0.1036442974556203,1,0,0,0.1,1,0,0,0,0,0,1,0,0.4344497054057298,0.1036442974556203,1.674261230466634,0.09861770160548036,Child
4,5,0,1,0.4375,0.0157125535690723,0,0,1,0.0,1,0,0,0,0,0,1,1,0.4344497054057298,0.0157125535690723,-0.27745068732318856,0.01559038941147719,Child
5,6,0,1,0.35,0.016509502,0,0,1,0.0,1,0,0,0,0,1,0,1,-0.10348315383270892,0.016509502,-0.2597618109088606,0.016374701804502404,Child
6,7,0,1,0.675,0.101228858320002,1,0,0,0.0,1,0,0,0,0,0,1,1,1.894553180481492,0.101228858320002,1.620648722181064,0.09642670019066905,Child
7,8,0,1,0.025,0.04113566,0,0,1,0.4,0,0,1,0,0,0,1,1,-2.1015194881469093,0.04113566,0.2868344913319732,0.04031209814519068,Child
8,9,1,0,0.3375,0.0217307543665283,0,0,1,0.2,1,0,0,0,0,0,1,0,-0.1803307051524856,0.0217307543665283,-0.14387214445701002,0.021498007333324867,Child
9,10,1,0,0.175,0.0586942926540201,0,1,0,0.1,1,0,0,0,1,0,0,0,-1.179348872309586,0.0586942926540201,0.6765616944585244,0.057036349452524476,Child
10,11,1,0,0.05,0.032596229,0,0,1,0.2,0,0,0,1,0,0,1,0,-1.9478243855073554,0.032596229,0.09729532700756881,0.0320762415102006,Child
11,12,1,0,0.725,0.0518221487278101,1,0,0,0.0,0,0,0,1,0,0,1,0,2.201943385760599,0.0518221487278101,0.5240292345216886,0.0505240398785738,Child
12,13,0,1,0.25,0.0157125535690723,0,0,1,0.0,1,0,0,0,0,0,1,1,-0.7182635643909243,0.0157125535690723,-0.27745068732318856,0.01559038941147719,Child
13,14,0,1,0.4875,0.061044735,0,0,1,0.6,1,0,0,0,0,0,1,1,0.7418399106848375,0.061044735,0.7287315495753025,0.05925402179673243,Child
14,15,0,0,0.175,0.0153303774213923,0,0,1,0.0,0,0,0,1,0,0,1,0,-1.179348872309586,0.0153303774213923,-0.28593337752303766,0.015214054528192182,Child
15,16,1,0,0.6875,0.03122992,0,1,0,0.0,1,0,0,0,0,0,1,0,1.9714007318012685,0.03122992,0.06696905982783377,0.030752186962029762,Child
16,17,0,1,0.025,0.0568482139999047,0,0,1,0.5,0,0,1,0,0,1,0,1,-2.1015194881469093,0.0568482139999047,0.6355865749946921,0.05529109581957551,Child
